Date,announce_date,effective_date,Country,Security_Name,Change_Type,from,to,source_file,flags
2017-02-01,2017-02-09,2017-02-28,USA,ADVANCED MICRO DEVICES,PROMOTION,small_cap,standard,MSCI_Feb17_SCPublicList.pdf;MSCI_Feb17_STPublicList.pdf,
2017-02-01,2017-02-09,2017-02-28,USA,ENDO INTERNATIONAL,DEMOTION,standard,small_cap,MSCI_Feb17_SCPublicList.pdf;MSCI_Feb17_STPublicList.pdf,
2017-02-01,2017-02-09,2017-02-28,USA,NOBILIS HEALTH,ADD,none,micro_cap,MSCI_Feb17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,AAC HOLDINGS INC,DEMOTION,small_cap,micro_cap,MSCI_May17_MicroPublicList.pdf;MSCI_May17_SCPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,ACACIA COMMUNICATIONS,ADD,none,small_cap,MSCI_May17_SCPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,ACCESS NATIONAL CORP,DEL,micro_cap,none,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,ACHAOGEN,DEL,micro_cap,none,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,AEHR TEST SYSTEMS,ADD,none,micro_cap,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,ALLEGIANCE BANCSHARES,DEL,micro_cap,none,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,ALLEGION,ADD,none,standard,MSCI_May17_STPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,AMERICAN FINANCIAL GROUP,ADD,none,standard,MSCI_May17_STPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,APOLLO ENDOSURGERY,ADD,none,micro_cap,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,APPLIED OPTOELECTRONICS,DEL,micro_cap,none,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,ARBOR REALTY TRUST,DEL,micro_cap,none,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,ARISTA NETWORKS,ADD,none,standard,MSCI_May17_STPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,ARROWHEAD PHARMA,ADD,none,micro_cap,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,ASURE SOFTWARE,ADD,none,micro_cap,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,ATHENE HLDG LTD CLASS A,ADD,none,standard,MSCI_May17_STPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,ATLANTIC CAPITAL BANCSHS,DEL,micro_cap,none,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,AXCELIS TECHNOLOGIES,DEL,micro_cap,none,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,BAR HARBOR BANKSHARES,DEL,micro_cap,none,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,BAY BANCORP,ADD,none,micro_cap,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,BRAINSTORM CELL,ADD,none,micro_cap,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,CALPINE CORP,DEL,standard,none,MSCI_May17_STPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,CAPSTAR FINANCIAL HLDGS,ADD,none,micro_cap,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,CARA THERAPEUTICS,DEL,micro_cap,none,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,CBOE HOLDINGS,ADD,none,standard,MSCI_May17_STPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,CELADON GROUP,ADD,none,micro_cap,MSCI_May17_MicroPublicList.pdf,
2017-05-01,2017-05-15,2017-05-31,USA,CITIZENS CMNTY BANCORP,ADD,none,micro_cap,MSCI_May17_MicroPublicList.pdf,
