Date,announce_date,effective_date,Country,Security_Name,Change_Type,from,to,source_file,page
2017-02-01,2017-02-09,2017-02-28,USA,ADVANCED MICRO DEVICES,Deletion,small_cap,none,MSCI_Feb17_SCPublicList.pdf,1
2017-02-01,2017-02-09,2017-02-28,USA,ADVANCED MICRO DEVICES,Addition,none,standard,MSCI_Feb17_STPublicList.pdf,1
2017-02-01,2017-02-09,2017-02-28,USA,ENDO INTERNATIONAL,Addition,none,small_cap,MSCI_Feb17_SCPublicList.pdf,1
2017-02-01,2017-02-09,2017-02-28,USA,ENDO INTERNATIONAL,Deletion,standard,none,MSCI_Feb17_STPublicList.pdf,1
2017-02-01,2017-02-09,2017-02-28,USA,NOBILIS HEALTH,Addition,none,micro_cap,MSCI_Feb17_MicroPublicList.pdf,1
2017-05-01,2017-05-15,2017-05-31,USA,AAC HOLDINGS INC,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,AAC HOLDINGS INC,Deletion,small_cap,none,MSCI_May17_SCPublicList.pdf,6
2017-05-01,2017-05-15,2017-05-31,USA,ACACIA COMMUNICATIONS,Addition,none,small_cap,MSCI_May17_SCPublicList.pdf,6
2017-05-01,2017-05-15,2017-05-31,USA,ACCESS NATIONAL CORP,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,ACHAOGEN,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,AEHR TEST SYSTEMS,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,ALLEGIANCE BANCSHARES,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,ALLEGION,Addition,none,standard,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,AMERICAN FINANCIAL GROUP,Addition,none,standard,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,APOLLO ENDOSURGERY,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,APPLIED OPTOELECTRONICS,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,ARBOR REALTY TRUST,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,ARISTA NETWORKS,Addition,none,standard,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,ARROWHEAD PHARMA,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,ASURE SOFTWARE,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,ATHENE HLDG LTD CLASS A,Addition,none,standard,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,ATLANTIC CAPITAL BANCSHS,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,AXCELIS TECHNOLOGIES,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,BAR HARBOR BANKSHARES,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,BAY BANCORP,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,BRAINSTORM CELL,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,CALPINE CORP,Deletion,standard,none,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,CAPSTAR FINANCIAL HLDGS,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,CARA THERAPEUTICS,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,CBOE HOLDINGS,Addition,none,standard,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,CELADON GROUP,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,CITIZENS CMNTY BANCORP,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,CLEARSIDE BIOMEDICAL,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,CLIPPER REALTY,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,COBALT INTERNATIONAL,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,COMMSCOPE HOLDING CO,Addition,none,standard,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,CONDOR HOSPITALITY TRUST,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,CONTAINER STORE GROUP,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,CPI CARD GROUP,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,CUMULUS MEDIA A,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,CYTOKINETICS,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,DASEKE,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,DEXTERA SURGICAL,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,DHI GROUP,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,DUN & BRADSTREET CORP,Deletion,standard,none,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,EAST WEST BANCORP,Addition,none,standard,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,EDGEWELL PERSONAL CARE,Deletion,standard,none,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,ENOVA INTERNATIONAL,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,ENVIROSTAR,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,EVERSPIN TECHNOLOGIES,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,EXCO RESOURCES INC,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,FIRST DEFIANCE FINANCIAL,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,FIRST FOUNDATION,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,FOGO DE CHAO,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,FRANKLIN FINL NETWORK,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,FRONTIER COMMUNICATIONS,Deletion,standard,none,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,FULGENT GENETICS,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,GREEN BANCORP,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,GRIFFIN INDUSTRIAL REAL,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,GUARANTY BANCORP,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,HANDY & HARMAN,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,HD SUPPLY HOLDINGS,Addition,none,standard,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,HENRY (JACK) & ASSOCIATE,Addition,none,standard,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,HERITAGE COMMERCE CORP,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,HESKA CORP,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,HOOKER FURNITURE CORP,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,HORNBECK OFFSHORE SVCS,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,IDEX CORP,Addition,none,standard,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,IFRESH,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,IMMUNOCELLULAR THERAP,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,INDEPENDENT BANK (MICH),Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,INVITAE,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,JONES ENERGY A,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,KEMET CORP,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,KMG CHEMICALS,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,LANTHEUS HOLDINGS,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,LEIDOS HOLDINGS,Addition,none,standard,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,LEMAITRE VASCULAR,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,LENNOX INTERNATIONAL,Addition,none,standard,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,LIBERTY LILAC C,Deletion,standard,none,MSCI_May17_STPublicList.pdf,3
2017-05-01,2017-05-15,2017-05-31,USA,LIMBACH HOLDINGS,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,MANNKIND CORP,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,MEDEQUITIES REALTY TRUST,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,MIDLAND STS BANCORP,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,MIRAGEN THERAPEUTICS,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,MOSYS,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,NANT HEALTH,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,NANTKWEST,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,NEFF CORP A,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,NEW AGE BEVERAGES,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,NII HOLDINGS,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,NL INDUSTRIES,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,NOVAN,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,OBALON THERAPEUTICS,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,OMEGA FLEX,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,ONCOMED PHARMACEUTICALS,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,OPEXA THERAPEUTICS,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,OPHTHOTECH,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,OVERSEAS SHIPHOLDING A,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,PARAGON COMMERCIAL,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,PARETEUM CORP,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,PEAPACK GLADSTONE FINL,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,PEOPLE'S UTAH BANCORP,Deletion,micro_cap,none,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,PHI NV,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
2017-05-01,2017-05-15,2017-05-31,USA,PLUMAS BANCORP,Addition,none,micro_cap,MSCI_May17_MicroPublicList.pdf,4
