strategy,anchor,entry_offset,exit_offset,event_id,country,event_type,change_type,security_name,ticker,side,announce_date,effective_date,entry_target_date,exit_target_date,entry_date,exit_date,entry_px,exit_px,security_return,gross_return,net_return,transaction_cost_bps,holding_days,turnover,benchmark_ticker,beta_lookback_days,estimated_beta,benchmark_return,beta_hedged_gross_return,beta_hedged_net_return,beta_hedge_turnover,beta_hedge_round_trip_cost,beta_hedge_available
buy_hold_announce_to_effective,announce_to_effective,,,1,India,inclusion,ADD,GRASIM INDUSTRIES,GRASIM.NS,1.0,2017-02-09,2017-02-28,2017-02-09,2017-02-28,2017-02-09,2017-02-28,714.5667114257812,725.9671020507812,0.015954270528853343,0.015954270528853343,0.013954270528853343,10.0,19,2.0,^NSEI,60,1.3398536781526686,0.011528207218490127,0.0005081596846531998,-0.004171547671652138,4.679707356305338,0.004679707356305338,True
buy_hold_announce_to_effective,announce_to_effective,,,2,USA,inclusion,PROMOTION,ADVANCED MICRO DEVICES,AMD,1.0,2017-02-09,2017-02-28,2017-02-09,2017-02-28,2017-02-09,2017-02-28,13.420000076293944,14.460000038146973,0.07749627093446598,0.07749627093446598,0.07549627093446598,10.0,19,2.0,SPY,60,,,,,,,False
buy_hold_announce_to_effective,announce_to_effective,,,12,India,deletion,DEMOTION,DIVI'S LABORATORIES,DIVISLAB.NS,-1.0,2017-05-15,2017-05-31,2017-05-15,2017-05-31,2017-05-15,2017-05-31,583.3971557617188,544.05224609375,-0.06744103785798827,0.06744103785798827,0.06544103785798827,10.0,16,2.0,^NSEI,60,0.5665848498201518,0.018617485982864057,0.07798942335761809,0.07485625365797778,3.1331696996403036,0.0031331696996403035,True
buy_hold_announce_to_effective,announce_to_effective,,,18,India,inclusion,ADD,INDIAN OIL CORP,IOC.NS,1.0,2017-05-15,2017-05-31,2017-05-15,2017-05-31,2017-05-15,2017-05-31,82.13872528076172,79.78843688964844,-0.028613645793499565,-0.028613645793499565,-0.030613645793499566,10.0,16,2.0,^NSEI,60,-0.5238774841600431,0.018617485982864057,-0.018860364075411876,-0.021908119043731963,3.047754968320086,0.003047754968320086,True
buy_hold_announce_to_effective,announce_to_effective,,,27,India,inclusion,ADD,RURAL ELECTRIFICATION CO,RECLTD.NS,1.0,2017-05-15,2017-05-31,2017-05-15,2017-05-31,2017-05-15,2017-05-31,83.54501342773438,73.72179412841797,-0.11757995954855394,-0.11757995954855394,-0.11957995954855394,10.0,16,2.0,^NSEI,60,1.452580349544384,0.018617485982864057,-0.14462335384518027,-0.14952851454426905,4.905160699088768,0.004905160699088767,True
buy_hold_announce_to_effective,announce_to_effective,,,59,Korea,inclusion,ADD,DOOSAN BOBCAT,241560.KS,1.0,2017-05-15,2017-05-31,2017-05-15,2017-05-31,2017-05-15,2017-05-31,30034.68359375,28948.15625,-0.03617575461910638,-0.03617575461910638,-0.03817575461910638,10.0,16,2.0,^KS11,60,0.46016042317365485,0.024765888672339198,-0.04757203643084161,-0.05049235727718892,2.92032084634731,0.0029203208463473096,True
buy_hold_announce_to_effective,announce_to_effective,,,77,Korea,inclusion,PROMOTION,MEDY-TOX,086900.KQ,1.0,2017-05-15,2017-05-31,2017-05-15,2017-05-31,2017-05-15,2017-05-31,411306.09375,407713.25,-0.008735206710027033,-0.008735206710027033,-0.010735206710027033,10.0,16,2.0,^KS11,60,0.7901446812235631,0.024765888672339198,-0.02830384192025074,-0.03188413128269787,3.580289362447126,0.003580289362447126,True
buy_hold_announce_to_effective,announce_to_effective,,,83,Korea,inclusion,ADD,PANOCEAN,028670.KS,1.0,2017-05-15,2017-05-31,2017-05-15,2017-05-31,2017-05-15,2017-05-31,4444.47412109375,4719.03759765625,0.06177636973053913,0.06177636973053913,0.059776369730539125,10.0,16,2.0,^KS11,60,-0.0978577510817952,0.024765888672339198,0.06419990389955635,0.06200418839739276,2.1957155021635906,0.0021957155021635907,True
buy_hold_announce_to_effective,announce_to_effective,,,110,USA,deletion,DEL,CALPINE CORP,CPN,-1.0,2017-05-15,2017-05-31,2017-05-15,2017-05-31,2017-05-15,2017-05-31,12.630000114440918,12.850000381469728,0.017418865006760154,-0.017418865006760154,-0.019418865006760155,10.0,16,2.0,SPY,60,,,,,,,False
buy_hold_announce_to_effective,announce_to_effective,,,130,USA,deletion,DEL,EDGEWELL PERSONAL CARE,EPC,-1.0,2017-05-15,2017-05-31,2017-05-15,2017-05-31,2017-05-15,2017-05-31,66.15747833251953,66.70467376708984,0.008271104769441262,-0.008271104769441262,-0.010271104769441262,10.0,16,2.0,SPY,60,,,,,,,False
buy_hold_announce_to_effective,announce_to_effective,,,163,USA,deletion,DEL,LIBERTY LILAC C,LILAK,-1.0,2017-05-15,2017-05-31,2017-05-15,2017-05-31,2017-05-15,2017-05-31,19.868173599243164,19.736347198486328,-0.006635053800911894,0.006635053800911894,0.004635053800911894,10.0,16,2.0,SPY,60,,,,,,,False
buy_hold_announce_to_effective,announce_to_effective,,,96,USA,inclusion,ADD,ALLEGION,ALLE,1.0,2017-05-15,2017-05-31,2017-05-15,2017-05-31,2017-05-15,2017-05-31,69.641845703125,70.89511108398438,0.01799586682699217,0.01799586682699217,0.015995866826992167,10.0,16,2.0,SPY,60,,,,,,,False
buy_hold_announce_to_effective,announce_to_effective,,,101,USA,inclusion,ADD,ARISTA NETWORKS,ANET,1.0,2017-05-15,2017-05-31,2017-05-15,2017-05-31,2017-05-15,2017-05-31,9.213749885559082,9.21125030517578,-0.00027128806559206797,-0.00027128806559206797,-0.002271288065592068,10.0,16,2.0,SPY,60,,,,,,,False
buy_hold_announce_to_effective,announce_to_effective,,,113,USA,inclusion,ADD,CBOE HOLDINGS,CBOE,1.0,2017-05-15,2017-05-31,2017-05-15,2017-05-31,2017-05-15,2017-05-31,76.06488037109375,77.51451873779297,0.019057919497499354,0.019057919497499354,0.017057919497499352,10.0,16,2.0,SPY,60,,,,,,,False
