event_id,event_month,country,event_type,change_type,security_name,ticker,announce_date,effective_date,expected_flow_proxy,pre_effective_runup,momentum_20d,volatility_20d,dollar_adv20,log_dollar_adv20,post_security_return,post_entry_target_date,post_exit_target_date,post_entry_date,post_exit_date,post_entry_px,post_exit_px,post_gross_return,post_net_return,post_transaction_cost_bps,post_holding_days,post_turnover,post_benchmark_ticker,post_beta_lookback_days,post_estimated_beta,post_benchmark_return,post_beta_hedged_gross_return,post_beta_hedged_net_return,post_beta_hedge_turnover,post_beta_hedge_round_trip_cost,post_beta_hedge_available,raw_flow_score,factor_neutral_flow_score,flow_rank_pct
1,2017-02-01,India,inclusion,ADD,GRASIM INDUSTRIES,GRASIM.NS,2017-02-09,2017-02-28,0.49869706051622814,0.04483653629083206,0.11839012087963119,0.023461728849457526,2005225374.6289306,21.41902229768655,0.0003975851194726321,2017-03-01,2017-03-07,2017-03-01,2017-03-07,737.3310546875,737.6242065429688,0.0003975851194726321,-0.001602414880527368,10.0,6,2.0,^NSEI,60,1.3977048956354827,0.00012302823241405747,0.00022562795672612397,-0.004569781834544842,4.7954097912709654,0.004795409791270966,True,0.4045961043112004,-0.7695032326276547,0.5
2,2017-02-01,USA,inclusion,PROMOTION,ADVANCED MICRO DEVICES,AMD,2017-02-09,2017-02-28,21.398418528980383,0.13263783329744627,0.46576663230557536,0.04942350258922106,1004116441.8601513,20.727373829439383,-0.1276737862661591,2017-03-01,2017-03-07,2017-03-01,2017-03-07,14.960000038146973,13.050000190734863,-0.1276737862661591,-0.1296737862661591,10.0,6,2.0,SPY,60,,,,,,,False,3.1089903549837947,-0.024253814605828594,1.0
18,2017-05-01,India,inclusion,ADD,INDIAN OIL CORP,IOC.NS,2017-05-15,2017-05-31,0.9808241827013744,-0.05100636842336492,-0.0505769885899533,0.015217109875163696,1019550718.300819,20.742627894952093,0.032620711546191616,2017-06-01,2017-06-07,2017-06-01,2017-06-07,76.89008331298828,79.3982925415039,0.032620711546191616,0.030620711546191615,10.0,6,2.0,^NSEI,60,-0.21024727501052323,0.004970911616118956,0.03366583216779878,0.031245337617777737,2.4204945500210466,0.0024204945500210465,True,0.6835130119864101,-0.36219640838855005,0.05263157894736842
27,2017-05-01,India,inclusion,ADD,RURAL ELECTRIFICATION CO,RECLTD.NS,2017-05-15,2017-05-31,1.028397550110327,-0.060730774330682746,-0.024193590467909365,0.01830121685241567,972386602.722575,20.695264022773873,-0.007655995191732989,2017-06-01,2017-06-07,2017-06-01,2017-06-07,72.25308227539062,71.69991302490234,-0.007655995191732989,-0.00965599519173299,10.0,6,2.0,^NSEI,60,0.7602619479323122,0.004970911616118956,-0.011435190140002945,-0.014955714035867568,3.520523895864624,0.003520523895864624,True,0.7072460971438381,-0.31717815285231343,0.10526315789473684
59,2017-05-01,Korea,inclusion,ADD,DOOSAN BOBCAT,241560.KS,2017-05-15,2017-05-31,0.09564082941639541,-0.04780371755102397,-0.03785912372283917,0.01534513727831011,10455785526.976757,23.07042130110088,0.0,2017-06-01,2017-06-07,2017-06-01,2017-06-07,28443.701171875,28443.701171875,0.0,-0.002,10.0,6,2.0,^KS11,60,0.5880481231623862,0.006623610939443747,-0.003895001981497745,-0.007071098227822517,3.1760962463247724,0.0031760962463247724,True,0.09133942443054027,0.056047695424324306,0.6842105263157895
77,2017-05-01,Korea,inclusion,PROMOTION,MEDY-TOX,086900.KQ,2017-05-15,2017-05-31,0.06328182769858183,-0.045575318564071265,-0.019890800257160834,0.014828993775428111,15802324875.367188,23.483422910165295,0.044804649886580616,2017-06-01,2017-06-07,2017-06-01,2017-06-07,409665.90625,428020.84375,0.044804649886580616,0.042804649886580615,10.0,6,2.0,^KS11,60,0.6164555164825883,0.006623610939443747,0.0407214883839261,0.03748857735096092,3.232911032965177,0.003232911032965177,True,0.06136018905447028,0.11617385313135964,0.7368421052631579
83,2017-05-01,Korea,inclusion,ADD,PANOCEAN,028670.KS,2017-05-15,2017-05-31,0.05576266101412661,0.017374761914126458,0.027290595605443002,0.024629578593403145,17933147052.409595,23.609916627979985,0.009225102905676463,2017-06-01,2017-06-07,2017-06-01,2017-06-07,4650.39697265625,4693.29736328125,0.009225102905676463,0.007225102905676463,10.0,6,2.0,^KS11,60,-0.02596736086240968,0.006623610939443747,0.009397100601153204,0.007345165879428385,2.051934721724819,0.0020519347217248193,True,0.054263407195836354,0.2002097005505017,0.8421052631578947
96,2017-05-01,USA,inclusion,ADD,ALLEGION,ALLE,2017-05-15,2017-05-31,112.98511776950403,0.015795407936112893,0.015269537658888499,0.009219454005991525,53542873.14994812,17.795993258231658,-0.010234762716603396,2017-06-01,2017-06-07,2017-06-01,2017-06-07,71.35494232177734,70.62464141845703,-0.010234762716603396,-0.012234762716603396,10.0,6,2.0,SPY,60,,,,,,,False,4.7360678939910965,0.008351531060257045,0.42105263157894735
101,2017-05-01,USA,inclusion,ADD,ARISTA NETWORKS,ANET,2017-05-15,2017-05-31,91.97501168599727,-0.0013566473390741463,0.04648854766430288,0.013879847228637842,123440763.69941711,18.631271952806724,0.050700232713992044,2017-06-01,2017-06-07,2017-06-01,2017-06-07,9.282500267028809,9.753125190734863,0.050700232713992044,0.04870023271399204,10.0,6,2.0,SPY,60,,,,,,,False,4.532330765500798,0.26503035428385446,1.0
113,2017-05-01,USA,inclusion,ADD,CBOE HOLDINGS,CBOE,2017-05-15,2017-05-31,81.43034986148723,0.019411882235222944,0.043598835064345476,0.01002979518997669,97331748.31085205,18.393635786954306,0.02372789979431933,2017-06-01,2017-06-07,2017-06-01,2017-06-07,77.91835021972656,79.7671890258789,0.02372789979431933,0.021727899794319327,10.0,6,2.0,SPY,60,,,,,,,False,4.411953692662692,0.017692840402566273,0.47368421052631576
