country,event_type,strategy,n_trades,cumulative_gross_return,cumulative_net_return,average_event_gross_return,average_event_net_return,hit_rate_net,volatility_event_net,sharpe_event_net,sharpe_annualized_net,max_drawdown_net,average_holding_days,turnover,transaction_cost_bps
Indonesia,deletion,announce_d-1_to_d+1,30,3.953589696389585,3.6791595866583062,0.055781524298864724,0.05378152429886473,0.9,0.045701395530010236,1.1768026703593462,11.975760798170356,-0.1005917953177291,2.433333333333333,60.0,10.0
Indonesia,deletion,developed_low_vol_deletion_announce_d-1_to_d+1,26,2.782831986009184,2.600141388842848,0.053449222561664386,0.05144922256166437,0.9230769230769231,0.044454817844427404,1.1573373833566105,11.802571803091542,-0.1005917953177291,2.423076923076923,52.0,10.0
Indonesia,deletion,effective_d-3_to_d+0,30,2.8024530342705365,2.5899249956585253,0.04683822541961162,0.04483822541961162,0.8666666666666667,0.053143669745838264,0.8437171470102127,7.159177392651463,-0.11164262112667511,3.5,60.0,10.0
Indonesia,inclusion,announce_d+0_to_d+3,19,0.9562984350898174,0.885571090397923,0.038998621411001654,0.03699862141100165,0.6842105263157895,0.08281191426593187,0.44677896579215504,3.7217332630036246,-0.16089758819125266,3.6315789473684212,38.0,10.0
Indonesia,inclusion,effective_d-3_to_d+0,19,1.2109143798650135,1.1313762907255351,0.047497582344817574,0.04549758234481757,0.7368421052631579,0.10870481723403529,0.41854246667711026,3.3666714840284855,-0.14404523612326392,3.8947368421052633,38.0,10.0
India,deletion,announce_d+0_to_d+5,32,2.4638010495236333,2.2562292946165443,0.04260053429984908,0.04060053429984908,0.71875,0.08185341754766515,0.49601513921158447,2.976090835269507,-0.1446056671671112,7.0,64.0,10.0
Indonesia,inclusion,announce_d-1_to_d+1,19,0.466018722148994,0.4122477399202542,0.022833107561499373,0.02083310756149937,0.631578947368421,0.07458139796377038,0.2793338302886134,2.9475852841080066,-0.23738777957956425,2.263157894736842,38.0,10.0
Indonesia,deletion,announce_d-3_to_d+0,30,0.6021644243570565,0.5101205956823607,0.0165701622697969,0.014570162269796898,0.6,0.03921345778888138,0.371560252305221,2.9012109255252296,-0.0573191295256783,4.133333333333334,60.0,10.0
USA,inclusion,announce_d+0_to_d+3,170,25.332513483399815,17.850103475644037,0.020813370452887454,0.018813370452887453,0.6176470588235294,0.05464009205079541,0.34431439894716614,2.7952666156061308,-0.2660490304600409,3.823529411764706,340.0,10.0
Korea,deletion,developed_low_vol_deletion_announce_d-1_to_d+1,54,0.6442355996310625,0.477132822366348,0.009778887487434705,0.007778887487434704,0.5740740740740741,0.03286567583113669,0.23668728211774806,2.669194271611563,-0.23528515846639064,1.9814814814814814,108.0,10.0
Indonesia,inclusion,announce_d+0_to_d+5,19,1.2910414746278356,1.208788160296295,0.049299938993088536,0.047299938993088535,0.7368421052631579,0.1074211570472523,0.4403223749701587,2.651922694709102,-0.12833057983250085,6.947368421052632,38.0,10.0
Indonesia,deletion,announce_to_effective_legacy,30,5.653495442132711,5.287354218687418,0.06941078454488973,0.06741078454488973,0.8,0.09682467637741221,0.6962149223420042,2.6419498747175796,-0.10726312152161288,17.5,60.0,10.0
Indonesia,deletion,buy_hold_announce_to_effective,30,5.653495442132711,5.287354218687417,0.06941078454488973,0.06741078454488973,0.8,0.09682467637741221,0.6962149223420042,2.6419498747175796,-0.14575660293100645,17.5,60.0,10.0
Korea,deletion,effective_d-3_to_d+0,78,2.428870949140239,1.9398791464413643,0.0169500453801087,0.014950045380108698,0.6538461538461539,0.04595187112923612,0.32534138464270235,2.624722601254262,-0.1980835924113481,3.871794871794872,156.0,10.0
Indonesia,deletion,announce_d+0_to_d+3,30,0.8116616473339027,0.7078244266101279,0.022404328251778904,0.020404328251778903,0.6666666666666666,0.07028911361431227,0.29029144347645003,2.5496589677850228,-0.21979989192773464,3.2666666666666666,60.0,10.0
Indonesia,deletion,effective_d-5_to_d-1,30,0.9321069478398827,0.8216774455867772,0.023965192916499695,0.021965192916499694,0.6,0.06229628815636698,0.35259232237667026,2.528570586817511,-0.18439011544005302,4.9,60.0,10.0
Indonesia,inclusion,announce_to_effective_legacy,19,3.9112882528741117,3.7411906524068783,0.09599987708855326,0.09399987708855326,0.7368421052631579,0.14408602778954102,0.6523871782061617,2.4517864397956273,-0.17996031702583182,17.842105263157894,38.0,10.0
Indonesia,inclusion,buy_hold_announce_to_effective,19,3.9112882528741117,3.7411906524068783,0.09599987708855326,0.09399987708855326,0.7368421052631579,0.14408602778954102,0.6523871782061617,2.4517864397956273,-0.17996031702583182,17.842105263157894,38.0,10.0
Korea,deletion,announce_d-1_to_d+1,78,1.0939265023377494,0.7936364952714687,0.010245431859875932,0.00824543185987593,0.5769230769230769,0.038196494957001614,0.21586880862126068,2.4388051642319684,-0.33389633239361527,1.9743589743589745,156.0,10.0
USA,inclusion,effective_d-3_to_d+0,170,10.958556727144238,7.548377915427778,0.015629980312350338,0.013629980312350338,0.6176470588235294,0.04394471408112102,0.31016199780455234,2.4041886996898114,-0.43326829458608207,4.194117647058824,340.0,10.0
USA,inclusion,announce_d-1_to_d+1,170,10.569878746056325,7.268484237949512,0.01604922546232712,0.014049225462327121,0.5882352941176471,0.058208388104959145,0.2413608402451223,2.3761858506183913,-0.42071307317110185,2.6,340.0,10.0
India,deletion,announce_d-1_to_d+1,32,0.4017197115866684,0.3155358728894584,0.011607056250416057,0.009607056250416055,0.6875,0.044967669816874924,0.21364363084721893,2.1722905271435216,-0.29054051298385764,2.4375,64.0,10.0
USA,inclusion,confirmed_flow_momentum_top20_effective_d-5_to_d-1,51,1.3916665549348184,1.1629527560828405,0.018726828591052427,0.016726828591052425,0.6078431372549019,0.05555615919016496,0.30107964328127196,2.0810887966906537,-0.2024068511556426,5.2745098039215685,102.0,10.0
Indonesia,inclusion,effective_d-10_to_d-1,19,0.7970241542982426,0.7318064836805522,0.033686423053759594,0.03168642305375959,0.7368421052631579,0.071405364220752,0.4437540988629368,2.011599356045628,-0.1648139853511169,12.263157894736842,38.0,10.0
Indonesia,deletion,effective_d-1_to_d+1,30,0.472937076890517,0.3879510890947586,0.01526275482185638,0.013262754821856378,0.7,0.06729483934268847,0.19708427795358674,1.9920352466918574,-0.3587910227186263,2.466666666666667,60.0,10.0
India,deletion,announce_d+0_to_d+3,32,0.5476435113607043,0.45272832458672374,0.015252926690576318,0.013252926690576317,0.71875,0.05616710802285081,0.23595529763050194,1.967324486317569,-0.2737423734406874,3.625,64.0,10.0
India,inclusion,announce_d+0_to_d+3,112,2.7537553997634188,2.0069509056071184,0.012999642072024762,0.01099964207202476,0.5803571428571429,0.048366270458410715,0.2274238217619685,1.9322212605882192,-0.2724639499052326,3.4910714285714284,224.0,10.0
India,inclusion,announce_d-5_to_d+0,112,5.192266351989907,3.9649336305818554,0.017772226989214768,0.015772226989214766,0.6785714285714286,0.05246245460446357,0.30063837287309936,1.811937380276842,-0.5302319533415434,6.9375,224.0,10.0
India,inclusion,announce_d+0_to_d+5,112,6.137275154949358,4.724053616252769,0.019303015013422044,0.017303015013422043,0.5892857142857143,0.05866423918671499,0.2949499602023383,1.7776535080815152,-0.3478031622773923,6.9375,224.0,10.0
USA,inclusion,effective_d-5_to_d-1,170,10.67401046185612,7.342823719755176,0.016097725001757233,0.014097725001757233,0.5470588235294118,0.05614512545511885,0.25109437172825694,1.7391457498494631,-0.38709003930273855,5.252941176470588,340.0,10.0
India,deletion,announce_d-3_to_d+0,32,0.5020759133161734,0.40986852719044564,0.014319867544695358,0.012319867544695356,0.53125,0.05601407658997772,0.2199423483292712,1.7126092950149552,-0.16542643619366382,4.15625,64.0,10.0
India,inclusion,effective_d-1_to_d+1,112,1.5971499777942246,1.0790495871397119,0.00940018901163812,0.007400189011638118,0.48214285714285715,0.041698167036874526,0.1774703671049613,1.6879432156789291,-0.3230198579135424,2.7857142857142856,224.0,10.0
India,inclusion,announce_d-3_to_d+0,112,1.9955117741930657,1.3985520201243444,0.010790152455025098,0.008790152455025095,0.5982142857142857,0.04350859628477579,0.20203254541909643,1.5524465944675006,-0.4954774003994983,4.267857142857143,224.0,10.0
India,deletion,developed_low_vol_deletion_announce_d-1_to_d+1,27,0.23640851200839696,0.17177844356459593,0.008931973366924624,0.006931973366924621,0.7037037037037037,0.04587444137246442,0.15110752653405507,1.534250527969522,-0.2931255357093676,2.4444444444444446,54.0,10.0
Korea,inclusion,effective_d-3_to_d+0,53,0.6636732254048339,0.4975467362424364,0.01067895362719445,0.008678953627194449,0.5094339622641509,0.04581021994029506,0.18945452867298648,1.507307876377317,-0.1854128523879518,3.981132075471698,106.0,10.0
Indonesia,inclusion,effective_d-5_to_d-1,19,0.284377543233028,0.23697230577947925,0.015019152812594413,0.013019152812594411,0.6842105263157895,0.06046337129142549,0.2153229721486056,1.4610018540356569,-0.14312903225806461,5.473684210526316,38.0,10.0
India,deletion,announce_d-5_to_d+0,32,0.7648371181771181,0.6568291897966034,0.021086771902198164,0.019086771902198162,0.59375,0.07879857988835406,0.2422222828030822,1.4533336968184931,-0.3603298024455531,7.0,64.0,10.0
Indonesia,inclusion,confirmed_flow_momentum_top20_effective_d-5_to_d-1,14,0.2203672711518596,0.1870337137817304,0.016529950984532606,0.014529950984532605,0.7142857142857143,0.06824238293189912,0.21291681738359616,1.4506660853414526,-0.1431290322580645,5.428571428571429,28.0,10.0
Korea,deletion,effective_d-1_to_d+1,78,0.9092647760073014,0.6350023524190307,0.009678712252933352,0.00767871225293335,0.5,0.0526564822241863,0.14582653319378686,1.4492976391267758,-0.3431933966547648,2.551282051282051,156.0,10.0
Korea,deletion,announce_to_effective_legacy,78,9.267868956950263,7.817079016194775,0.03503974535427217,0.03303974535427218,0.7435897435897436,0.09583856214530574,0.3447437504767542,1.2899130005154997,-0.44753854044851704,18.0,156.0,10.0
