country,security_name,event_type,ticker_event,ticker_mapping,status,score,query_used,candidate_name,exchange,reason,ticker,price_fetch_status,rows,price_fetch_reason,diagnosis
India,GRASIM INDUSTRIES,inclusion,GRASIM.NS,GRASIM.NS,mapped_manual_alias,1.0,manual_alias,,,,GRASIM.NS,downloaded,67.0,,mapped_and_priced
USA,ENDO INTERNATIONAL,deletion,ENDP,ENDP,existing_repo_mapping,1.0,existing_repo_mapping,,,,ENDP,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,ADVANCED MICRO DEVICES,inclusion,AMD,AMD,existing_repo_mapping,1.0,existing_repo_mapping,,,,AMD,downloaded,66.0,,mapped_and_priced
India,DIVI'S LABORATORIES,deletion,DIVISLAB.NS,DIVISLAB.NS,mapped_manual_alias,1.0,manual_alias,,,,DIVISLAB.NS,downloaded,437.0,,mapped_and_priced
India,INDIAN OIL CORP,inclusion,IOC.NS,IOC.NS,mapped_manual_alias,1.0,manual_alias,,,,IOC.NS,downloaded,65.0,,mapped_and_priced
India,RURAL ELECTRIFICATION CO,inclusion,RECLTD.NS,RECLTD.NS,mapped_manual_alias,1.0,manual_alias,,,,RECLTD.NS,cached,65.0,,mapped_and_priced
Korea,DOOSAN BOBCAT,inclusion,241560.KS,241560.KS,mapped_manual_alias,1.0,manual_alias,,,,241560.KS,downloaded,63.0,,mapped_and_priced
Korea,MEDY-TOX,inclusion,086900.KQ,086900.KQ,mapped_manual_alias,1.0,manual_alias,,,,086900.KQ,downloaded,795.0,,mapped_and_priced
Korea,PANOCEAN,inclusion,028670.KS,028670.KS,mapped_manual_alias,1.0,manual_alias,,,,028670.KS,downloaded,1660.0,,mapped_and_priced
USA,CALPINE CORP,deletion,CPN,CPN,existing_repo_mapping,1.0,existing_repo_mapping,,,,CPN,downloaded,66.0,,mapped_and_priced
USA,DUN & BRADSTREET CORP,deletion,DNB,DNB,existing_repo_mapping,1.0,existing_repo_mapping,,,,DNB,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,EDGEWELL PERSONAL CARE,deletion,EPC,EPC,existing_repo_mapping,1.0,existing_repo_mapping,,,,EPC,downloaded,66.0,,mapped_and_priced
USA,FRONTIER COMMUNICATIONS,deletion,FTR,FTR,existing_repo_mapping,1.0,existing_repo_mapping,,,,FTR,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,LIBERTY LILAC C,deletion,LILAK,LILAK,existing_repo_mapping,1.0,existing_repo_mapping,,,,LILAK,downloaded,66.0,,mapped_and_priced
USA,RITE AID CORP,deletion,RAD,RAD,existing_repo_mapping,1.0,existing_repo_mapping,,,,RAD,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,SOUTHWESTERN ENERGY CO,deletion,SWN,SWN,existing_repo_mapping,1.0,existing_repo_mapping,,,,SWN,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,ALLEGION,inclusion,ALLE,ALLE,existing_repo_mapping,1.0,existing_repo_mapping,,,,ALLE,downloaded,66.0,,mapped_and_priced
USA,AMERICAN FINANCIAL GROUP,inclusion,AFGB,AFGB,existing_repo_mapping,1.0,existing_repo_mapping,,,,AFGB,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,ARISTA NETWORKS,inclusion,ANET,ANET,existing_repo_mapping,1.0,existing_repo_mapping,,,,ANET,downloaded,66.0,,mapped_and_priced
USA,ATHENE HLDG LTD CLASS A,inclusion,ATHS,ATHS,existing_repo_mapping,1.0,existing_repo_mapping,,,,ATHS,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,CBOE HOLDINGS,inclusion,CBOE,CBOE,existing_repo_mapping,1.0,existing_repo_mapping,,,,CBOE,downloaded,66.0,,mapped_and_priced
USA,COMMSCOPE HOLDING CO,inclusion,,,unsupported_country,,,,,No country suffix rules configured.,,,,,unsupported_country
USA,EAST WEST BANCORP,inclusion,EWBC,EWBC,existing_repo_mapping,1.0,existing_repo_mapping,,,,EWBC,downloaded,949.0,,mapped_and_priced
USA,HD SUPPLY HOLDINGS,inclusion,HDS,HDS,existing_repo_mapping,1.0,existing_repo_mapping,,,,HDS,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,HENRY (JACK) & ASSOCIATE,inclusion,JKHY,JKHY,existing_repo_mapping,1.0,existing_repo_mapping,,,,JKHY,downloaded,66.0,,mapped_and_priced
USA,IDEX CORP,inclusion,IDEX,IDEX,existing_repo_mapping,1.0,existing_repo_mapping,,,,IDEX,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,LEIDOS HOLDINGS,inclusion,LDOS,LDOS,existing_repo_mapping,1.0,existing_repo_mapping,,,,LDOS,downloaded,66.0,,mapped_and_priced
USA,LENNOX INTERNATIONAL,inclusion,LII,LII,existing_repo_mapping,1.0,existing_repo_mapping,,,,LII,downloaded,66.0,,mapped_and_priced
USA,ROLLINS,inclusion,ROL,ROL,existing_repo_mapping,1.0,existing_repo_mapping,,,,ROL,downloaded,66.0,,mapped_and_priced
USA,SS&C TECHNOLOGIES HLDGS,inclusion,SSNC,SSNC,existing_repo_mapping,1.0,existing_repo_mapping,,,,SSNC,downloaded,66.0,,mapped_and_priced
USA,STEEL DYNAMICS,inclusion,STLD,STLD,existing_repo_mapping,1.0,existing_repo_mapping,,,,STLD,downloaded,66.0,,mapped_and_priced
USA,SVB FINANCIAL GROUP,inclusion,SIVB,SIVB,existing_repo_mapping,1.0,existing_repo_mapping,,,,SIVB,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,TESARO,inclusion,TSRO,TSRO,existing_repo_mapping,1.0,existing_repo_mapping,,,,TSRO,downloaded,317.0,,mapped_and_priced
